WARNING -  Doc file 'adr/001-severity-dedup-via-inhibit.en.md' contains a link '../architecture-and-design.en.md#appendix-a-role--tool-quick-reference', but the doc 'architecture-and-design.en.md' does not contain an anchor '#appendix-a-role--tool-quick-reference'.
WARNING -  Doc file 'adr/001-severity-dedup-via-inhibit.md' contains a link '../architecture-and-design.md#附錄角色與工具速查', but the doc 'architecture-and-design.md' does not contain an anchor '#附錄角色與工具速查'.
WARNING -  Doc file 'adr/002-oci-registry-over-chartmuseum.en.md' contains a link '../architecture-and-design.en.md#appendix-a-role--tool-quick-reference', but the doc 'architecture-and-design.en.md' does not contain an anchor '#appendix-a-role--tool-quick-reference'.
WARNING -  Doc file 'adr/002-oci-registry-over-chartmuseum.md' contains a link '../architecture-and-design.md#附錄角色與工具速查', but the doc 'architecture-and-design.md' does not contain an anchor '#附錄角色與工具速查'.
WARNING -  Doc file 'adr/003-sentinel-alert-pattern.en.md' contains a link '../architecture-and-design.en.md#appendix-a-role--tool-quick-reference', but the doc 'architecture-and-design.en.md' does not contain an anchor '#appendix-a-role--tool-quick-reference'.
WARNING -  Doc file 'adr/003-sentinel-alert-pattern.md' contains a link '../architecture-and-design.md#附錄角色與工具速查', but the doc 'architecture-and-design.md' does not contain an anchor '#附錄角色與工具速查'.
WARNING -  Doc file 'adr/005-projected-volume-for-rule-packs.en.md' contains a link '../architecture-and-design.en.md#appendix-a-role--tool-quick-reference', but the doc 'architecture-and-design.en.md' does not contain an anchor '#appendix-a-role--tool-quick-reference'.
WARNING -  Doc file 'adr/005-projected-volume-for-rule-packs.md' contains a link '../architecture-and-design.md#附錄角色與工具速查', but the doc 'architecture-and-design.md' does not contain an anchor '#附錄角色與工具速查'.
WARNING -  Doc file 'adr/006-tenant-mapping-topologies.en.md' contains a link '../architecture-and-design.en.md#appendix-a-role--tool-quick-reference', but the doc 'architecture-and-design.en.md' does not contain an anchor '#appendix-a-role--tool-quick-reference'.
WARNING -  Doc file 'adr/006-tenant-mapping-topologies.md' contains a link '../architecture-and-design.md#附錄角色與工具速查', but the doc 'architecture-and-design.md' does not contain an anchor '#附錄角色與工具速查'.
WARNING -  Doc file 'adr/007-cross-domain-routing-profiles.en.md' contains a link '../architecture-and-design.en.md#appendix-a-role--tool-quick-reference', but the doc 'architecture-and-design.en.md' does not contain an anchor '#appendix-a-role--tool-quick-reference'.
WARNING -  Doc file 'adr/007-cross-domain-routing-profiles.md' contains a link '../architecture-and-design.md#附錄角色與工具速查', but the doc 'architecture-and-design.md' does not contain an anchor '#附錄角色與工具速查'.
